plain_name,meaning,sample,note
regardless,despite; not being affected by something:,"The plan for a new office building went ahead regardless of local opposition.

This job is open to all, regardless of previous experience.",To imply that nothing else needs to be said/can be done
secondly,,"Secondly, the government must revise the out-of-date environmental laws which were written twenty years ago.",To list points
seeing / being that,considering or accepting the fact that; as,considering or accepting the fact that; as,
shortly,soon,soon,
shortly after/before sth,a short time after or before something,a short time after or before something,
significantly (1),in a way that is easy to see or by a large amount,in a way that is easy to see or by a large amount,
significantly (2),in a way that suggests a special meaning,in a way that suggests a special meaning,
similarly [sɪm.ɪ.lə.li],in a similar way,in a similar way,
so,,Lots of factories have closed down so many people have lost their jobs.,To express effect / phrases for result
so as not to,in order not to:,in order not to:,
so as to,in order to,in order to,
so long as,only if,only if,
so that,in order that,in order that,
Some people argue,,Some people argue that the mayor's proposal to raise local taxes is unfair.,To state OTHER PEOPLE'S opinions
sooner or later,"used to say that you do not know exactly when something will happen, but you are certain that it will happen","used to say that you do not know exactly when something will happen, but you are certain that it will happen",
specifically,"for a particular reason, purpose, etc.","for a particular reason, purpose, etc.",
straightaway,immediately,immediately,
such as,for example,for example,
suddenly,quickly and unexpectedly,quickly and unexpectedly,
surely,used to express that you are certain or almost certain about something:,used to express that you are certain or almost certain about something:,
surprisingly,unexpectedly or in a way that is unusual:,"The restaurant turned out to be surprisingly cheap.

Not surprisingly, the jury found them guilty.",To emphasise what you say
Taking everything into account,,"Taking everything into account, the university offers a wide range of courses and provides modern facilities.",To conclude
That is to say,used to correct something you have said or give more information about something:,"That is to say, they disagree with the manager's decision.

Everybody was at the meeting, well everyone except Jeanne, that is.",To rephrase
The fact of the matter,,The fact of the matter is the report states that most college graduates are interested in pursuing a Masters' degree in the future.,To express reality
the first/greatest ,,The first/greatest advantage of regular exercise is that it leads to a healthier lifestyle.,To list advantages/disadvantages
"the last person, thing, etc.",the least expected or wanted person or thing,the least expected or wanted person or thing,
the main,,The main advantage of regular exercise is that it leads to a healthier lifestyle.,To list advantages/disadvantages
the once (UK),on a single occasion,on a single occasion,
"then again (also ""there again"")",used when you have had a new thought that is different from or the opposite of what you have just said,used when you have had a new thought that is different from or the opposite of what you have just said,
therefore,for that reason,"Lots of factories have closed down, therefore, many people have lost their jobs.",To express effect / phrases for result
thereupon,immediately after something that is mentioned,immediately after something that is mentioned,
Things being as they are,,"Things being as they are, the situation cannot be improved.",Accepting the situation
thirdly,,"Thirdly, the government must revise the out-of-date environmental laws which were written twenty years ago.",To list points
Those who ,,Those who oppose increasing the school year claim that it will only overwork students.,To introduce the other side of the argument
thus /ðʌs/,with this result,"Lots of factories have closed down; thus, many people have lost their jobs.",To express effect / phrases for result
till,up to (the time that); until,up to (the time that); until,
time after time,again and again,again and again,
time and (time) again,very often,very often,
to a certain extent,,"Considering the high rate of unemployment, some companies have, to a certain extent, tried to create more positions.",To make partly correct statements
to be sure,certainly,certainly,
to begin with,used to give the first important reason for something,used to give the first important reason for something,
to emphasize,to show that something is very important or worth giving attention to,to show that something is very important or worth giving attention to,
to enumerate,"to name things separately, one by one","to name things separately, one by one",
To illustrate,,"To illustrate, in the past six months retailers have reported a 25% drop in sales of electronic equipment.",To give examples
to make matters worse,to say that something has made a bad or difficult situation worse,to say that something has made a bad or difficult situation worse,
To my mind/way of thinking,,"To my mind/way of thinking, department stores offer a greater selection of clothes than small boutiques.",To express PERSONAL opinion
to point out,direct your attention,direct your attention,
to put it another way,"a phrase introducing a restatement of what someone, usually the speaker, has just said","a phrase introducing a restatement of what someone, usually the speaker, has just said",
to put it differently,used when you are going to explain something in a different way in order to make it easier to understand,"Or, to put it differently, did Singapore improve the living standards of its people faster and more comprehensively than any other society?",To rephrase
to say nothing of ...,and in addition there is,"It would be an enormous amount of work, to say nothing of the cost.",To add more points on a topic
to some extent,partly:,"To some extent, she was responsible for the accident.",To make partly correct statements
to start with,"at the beginning, or as the first of several things","To start with, the government must revise the out-of-date environmental laws which were written twenty years ago.",To list points
to such an extent,so much,so much,
To sum up,"When a judge sums up towards the end of a trial, he or she makes a speech to the jury telling them again of the main matters they should consider in the case.","To sum up, the university offers a wide range of courses and provides modern facilities.",To conclude
to summarize,to express the most important facts or ideas about something or someone in a short and clear form,to express the most important facts or ideas about something or someone in a short and clear form,
to tell (you) the truth,to be honest,to be honest,
To the best of my knowledge,,"To the best of my knowledge, residents were opposed to the city's plan to build a nuclear power plant in their area.",To express limit of knowledge
to the contrary,saying or showing the opposite:,"For a long time it was thought to be a harmless substance, but we now have proof/evidence to the contrary.",To introduce the other side of the argument
to the extent of,so strongly that,so strongly that,
to the extent that,"to a particular degree or stage, often causing particular results","to a particular degree or stage, often causing particular results",
to the same extent,to the same degree as; as much as,to the same degree as; as much as,
to what extent?,how much,how much,
together with,in addition to; and also:,The money that I owe you for the phone together with the rent equals £300.,To add more points on a topic
too,,The city should conduct inspections of zoos too.,To add more points on a topic
truly,used to emphasize that what you are saying is true,used to emphasize that what you are saying is true,
Ultimately (1),"finally, after a series of things have happened","finally, after a series of things have happened",
Ultimately (2),used to emphasize the most important fact in a situation,used to emphasize the most important fact in a situation,
under those circumstances,,"Under those circumstances, we want to not take any chances",To express situation’s conditions
unlike,different from,different from,
until,up to (the time that),up to (the time that),
until now,до сих пор,до сих пор,
up to a point,"partly, or to a limited degree","Considering the high rate of unemployment, some companies have, up to a point, tried to create more positions.",To make partly correct statements
usually,in the way that most often happens,in the way that most often happens,
what's more,used to add something surprising or interesting to what you have just said,used to add something surprising or interesting to what you have just said,
whenever,every or any time,every or any time,
whereas /weərˈæz/,compared with the fact that; but,"John is a hard-working person, whereas Ann isn't.",To introduce the other side of the argument
wherever,to or in any or every place,to or in any or every place,
while,,"While killing endangered species is illegal, people will not stop hunting them.",To make contrasting points
With reference to,,"With reference to, this report, that brand of sun cream causes irritation to sensitive skin.",To refer to other sources
With regards ,,"With regards to the community, the area is in need of a new elementary school.",To bring up other points or aspects
"with this intention
with this in mind",,"With this in mind, she has created a crowdfunding campaign.",To express situation’s conditions
