plain_name,name,meaning,sample,note
pull back,pull back,"If an army pulls back, it moves its forces back from the front-line or from wherever it's been fighting the enemy.",,
pull down,pull down,"to destroy a building or structure because it is old, dangerous, or no longer wanted",,
pull down,pull down,to lower one's pants or trousers,,
pull in,pull in,"If a train, a truck or a car pulls in, it arrives somewhere.",,
pull off,pull off,to succeed in doing something difficult,,
pull on,pull on,"to put an item of clothing on, usually in a hurry",,
pull out,pull out,"If you pull out of something you're participating in, like a competition or a deal, you stop participating.",,
pull out,pull out,"to move your car from a parking spot or a side street into a traffic lane, or to move out from one traffic lane to join another",,
pull over,pull over,"If you're driving a car and you pull over, you move over to the side of the road and stop.",,
pull through,pull through,to recover from a serious illness or injury,,
pull up,pull up,"to pull something out of the ground, such as a plant, a stake, or a fence post",,
pull up,pull up,"If a vehicle such as a car or a taxi pulls up, it stops.",,
push in,push in,"to rudely join a line of people who are waiting for something, by moving in front of some of the people who are already there",I was about to get on the bus when two men pushed in in front of me.,BrE
put aside,put aside,"to save or reserve something, like time, money, food, etc., for a particular purpose, or for use in the future",,
put aside,put aside,to ignore a disagreement or a problem you have with someone so you can work together on something,,
put away,put away,"If you put something away, you put it where it's usually kept when it's not being used.",,
put away,put away,"If you put something away, you put it somewhere safe and keep it for the future.",,
put back,put back,"If you put something back, you return it to the place it was before you took it",Will you put the books back when you've finished with them?,
put back,put back,to change the time or date of something to a later time,We had to put the meeting back a week.,
put down,put down,to stop carrying something or someone,,
put down,put down,"to put a sick or injured animal to death, usually by lethal injection",,
put forward,put forward,"to offer an idea, an opinion, a suggestion, etc. for other people to consider",The proposals that you have put forward deserve serious consideration.,
put forward,put forward,"to change the date or time of an event, an appointment, a meeting, etc. so that it happens earlier than originally planned",,
put in/into,put sth in/into sth,to spend a certain amount of time and effort on doing something,We've put a lot of time into redesigning the packaging.,
put in,put sth in,"to install a large piece of equipment into a room, a home or a building",I've just had central heating/a new kitchen put in.,
put in,put sth in,to formally offer a particular thing to be considered,I've put in an application to the college.,
